-50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
-90,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814,-213.625825317814
-89,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147,-208.484729304147
-88,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404,-203.40107570404
-87,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494,-198.374864517494
-86,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508,-193.406095744508
-85,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083,-188.494769385083
-84,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218,-183.640885439218
-83,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914,-178.844443906914
-82,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171,-174.105444788171
-81,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988,-169.423888082988
