-50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
-90,-23.54,-20.85,-16.38,-20.08,-26,-15.34,-12.9,-22.26,-30.5,-25.13,-26.81,-17.6,-23.77,-32.87,-24.73,-16.52,-21.03,-29.83,-20.94,-31.48,-15.65,-18.73,-24.06,-18.28,-14.77,-17.69,-23.19,-22.78,-29.99,-14.43,-18.44,-25.06,-21.95,-12.34,-25.21,-22.31
-88,-22.57,-24.78,-16.72,-20.71,-22.61,-15.05,-12.17,-20.13,-20.09,-24.65,-32.87,-18.33,-20.7,-28.02,-28.61,-14.66,-17.98,-26.16,-19.35,-29.11,-17.22,-17.97,-19.03,-19.53,-12.99,-15.07,-30.51,-20.04,-22.83,-15.46,-19.56,-19.91,-18.87,-9.54,-21.6,-22.44
-86,-20.17,-28.73,-16.68,-21.89,-20.36,-14.28,-12.03,-18.3,-15.37,-25.1,-29.24,-18.37,-17.85,-23.08,-22.48,-13.28,-15.68,-19.42,-18.12,-24.5,-18.95,-17.77,-16.1,-17.51,-11.88,-13.46,-23.12,-18.15,-19.01,-17.21,-19.57,-16.6,-14.14,-8.22,-18.77,-19.99
-84,-17.8,-22.5,-16.79,-21.68,-18.81,-12.64,-12.73,-17.27,-12.73,-25.96,-22.86,-18.22,-16.02,-20.34,-17.34,-12.9,-14.37,-15.77,-17.11,-20.43,-19.32,-17.54,-14.7,-13.89,-11.52,-12.92,-17.39,-17.13,-16.79,-18.93,-17.79,-14.79,-10.66,-8.15,-17.09,-16.93
-82,-16.19,-17.46,-17.11,-19.04,-17.77,-10.72,-14.93,-17.35,-11.3,-26.59,-19.59,-17.15,-14.99,-18.54,-13.25,-13.93,-14.45,-13.7,-16.35,-17.55,-17.9,-16.65,-14.38,-10.69,-12.29,-13.59,-14.18,-16.89,-15.72,-17.77,-15.71,-13.84,-8.32,-9.32,-16.54,-14.54
-80,-15.57,-14.49,-16.84,-16.14,-17.84,-9.13,-20.73,-18.99,-10.7,-27,-18.1,-15.3,-14.45,-17.17,-10.36,-17.09,-16.02,-12.79,-16,-15.69,-16.18,-15.3,-14.95,-8.48,-15.08,-15.87,-12.46,-17.45,-15.67,-14.45,-14.17,-13.39,-7.07,-12.53,-15.85,-13.37
-78,-16.04,-12.9,-15.69,-13.97,-19.63,-8.01,-25.4,-22.56,-10.93,-28.02,-17.37,-13.82,-14.42,-16.28,-8.62,-25.97,-18.37,-13.06,-16.33,-14.77,-14.63,-14.24,-16.84,-7.36,-23.13,-19.94,-11.96,-19.03,-16.54,-11.55,-13.32,-13.69,-6.8,-22.76,-13.9,-13.72
-76,-17.8,-12.38,-14.22,-12.74,-23.97,-7.43,-14.33,-20.43,-12.29,-31.11,-16.94,-13.02,-15.24,-16.35,-7.69,-18.06,-18.13,-14.98,-17.79,-14.88,-13.23,-14.18,-21.66,-7.25,-19.6,-17.65,-12.76,-21.89,-18.02,-9.53,-13.32,-15.49,-7.3,-17.48,-11.5,-16.17
-74,-21.22,-12.85,-12.76,-12.62,-27.12,-7.47,-9.2,-14.06,-15.47,-40.21,-17.11,-12.69,-17.67,-18.23,-7.28,-10.26,-14.26,-20.06,-21.21,-16.01,-12.1,-15.42,-27.06,-7.97,-11.18,-11.8,-15.45,-24.62,-19.4,-8.34,-14.57,-20.32,-8.29,-9.31,-9.18,-23.09
-72,-23.68,-14.53,-11.44,-13.77,-20.06,-8.14,-6.14,-9.81,-21.16,-30.85,-18.31,-12.53,-24.04,-25.07,-7.5,-6.13,-10.2,-24.74,-27.81,-17.8,-11.35,-17.38,-17.79,-9.2,-6.87,-8.05,-22.86,-22.17,-20.03,-7.86,-17.83,-26.91,-9.38,-5.69,-7.03,-26.05
-70,-19.35,-18.21,-10.49,-15.86,-15.11,-9.07,-4.28,-7.18,-18.8,-23.64,-20.62,-12.44,-27.55,-25.17,-8.44,-3.9,-7.11,-16.18,-22.82,-19.52,-10.98,-18.08,-12.87,-10.08,-4.37,-5.94,-23.76,-18.3,-20.3,-8,-23.14,-17.34,-9.72,-3.84,-5.41,-15.47
-68,-15.56,-26.97,-10.17,-17.07,-12.05,-9.69,-3.43,-5.72,-13.12,-19.48,-23.75,-12.63,-17.65,-14.68,-9.36,-3.03,-5.19,-12.03,-16.61,-20.88,-10.98,-17.02,-10.09,-9.64,-3.17,-5.14,-13.74,-15.5,-20.88,-8.7,-19.4,-12.4,-8.92,-3.17,-4.69,-11.13
-66,-13.42,-28.61,-10.68,-16.09,-10.27,-10,-3.62,-5.11,-9.88,-16.78,-26.74,-13.43,-13.52,-10.4,-9.41,-3.32,-4.36,-10.11,-13.03,-22.14,-11.48,-15.5,-8.68,-8.72,-3.21,-5.41,-9.33,-13.67,-22.04,-10.07,-14.93,-9.89,-8.01,-3.64,-4.82,-9.06
-64,-12.39,-20.24,-12.3,-14.82,-9.53,-10.64,-4.98,-4.86,-8.26,-15.1,-27.09,-15.14,-11.52,-8.76,-9.65,-4.68,-4.27,-9.5,-11.02,-22.83,-12.76,-14.25,-8.5,-8.79,-4.64,-5.98,-6.98,-12.74,-24.12,-12.5,-13.14,-9.14,-7.97,-5.53,-5,-8.39
-62,-12.25,-17.08,-15.66,-14.24,-9.7,-12.31,-7.45,-4.2,-7.87,-14.36,-26.39,-17.69,-10.78,-9.12,-11.36,-6.44,-4.06,-9.83,-10.32,-21.3,-15.16,-13.7,-9.33,-10.85,-7.62,-5.08,-5.94,-12.78,-27.97,-16.77,-13.1,-10.41,-9.38,-8.76,-3.92,-8.6
-60,-13.11,-15.39,-21.2,-14.03,-10.63,-15.95,-8.95,-2.65,-8.19,-14.64,-28.57,-18.48,-10.9,-11.25,-14.89,-6.02,-2.77,-10.38,-11.1,-18.2,-18.17,-13.71,-10.21,-17.1,-9.68,-2.58,-5.86,-14.05,-34.93,-21.72,-13.7,-14.98,-13.55,-8.75,-1.76,-9.03
-58,-15.57,-14.33,-19.48,-13.09,-11.64,-19.37,-6.61,-0.75,-8.02,-16.27,-41.16,-15.31,-11.23,-13.24,-16.6,-3.67,-0.74,-9.52,-14.03,-15.49,-18.52,-13.36,-9.84,-23.17,-6.47,-0.21,-6.39,-17.01,-40.91,-18.35,-13.03,-17.58,-31.42,-4.71,0.3,-8.6
-56,-21.87,-13.79,-15.76,-11.23,-10.67,-12.63,-3.83,0.8,-6.63,-20.21,-31.27,-12.46,-10.98,-10.96,-11.79,-1.91,0.99,-7.33,-22.11,-13.77,-17.09,-12.09,-8.53,-11.06,-3.29,1.29,-6.71,-20.67,-40.97,-15.94,-11.33,-9.93,-13.17,-1.75,1.64,-6.75
-54,-26.83,-14.1,-15.9,-9.81,-7.75,-7.56,-2.2,1.67,-4.97,-23.2,-25.32,-11.68,-10.32,-7.77,-7.27,-1.26,1.89,-5.38,-23.85,-13.32,-17.85,-10.74,-6.7,-6.17,-1.68,1.88,-5.86,-17.11,-32.17,-16.96,-10.43,-6.08,-7.15,-0.29,2.07,-4.36
