-50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
-90,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085,-2598.20102123085
-89,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118,-2540.47460360118
-88,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799,-2483.39317387799
-87,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127,-2426.95673206127
-86,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103,-2371.16527815103
-85,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727,-2316.01881214727
-84,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999,-2261.51733404999
-83,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918,-2207.66084385918
-82,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485,-2154.44934157485
-81,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699,-2101.88282719699
-80,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561,-2049.96130072561
-79,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071,-1998.68476216071
-78,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228,-1948.05321150228
-77,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034,-1898.06664875034
-76,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486,-1848.72507390486
-75,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587,-1800.02848696587
-74,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335,-1751.97688793335
-73,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731,-1704.57027680731
-72,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775,-1657.80865358775
-71,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466,-1611.69201827466
-70,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805,-1566.22037086805
-69,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791,-1521.39371136791
-68,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425,-1477.21203977425
-67,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707,-1433.67535608707
