-50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
-90,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05,-1079937.05
-89,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333,-1056070.38333333
-88,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333,-1032470.38333333
-87,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05,-1009137.05
-86,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333,-986070.383333333
-85,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334,-963270.383333334
-84,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05,-940737.05
-83,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333,-918470.383333333
-82,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334,-896470.383333334
-81,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05,-874737.05
