-50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
-90,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817,-67312946.1605817
-89,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429,-65825411.5345429
-88,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191,-64354497.4071191
-87,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102,-62900203.7783102
-86,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164,-61462530.6481164
-85,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374,-60041478.0165374
-84,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734,-58637045.8835734
-83,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244,-57249234.2492244
-82,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903,-55878043.1134903
-81,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712,-54523472.4763712
