-50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
0,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662,6.75899446887662
2,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015,6.60056099048015
4,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096,6.41780260015096
6,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744,6.25059849050744
8,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041,6.13366116158041
10,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649,6.08405867196649
12,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266,6.09509814900266
14,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839,6.14056214662839
16,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261,6.1860567943261
18,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879,6.20051931158879
