-50,-180,-175,-170,-165,-160,-155,-150,-145,-140,-135,-130,-125,-120,-115,-110,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180
0,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881,-17.9228987489881
5,-16.6483684269981,-16.5100512110937,-16.4447764205598,-16.4471502917838,-16.5118698928195,-16.6331268455531,-16.8038750316042,-17.0149138059565,-17.2537795399958,-17.503547126758,-17.7418643742405,-17.9408823081734,-18.069049406612,-18.0955608873672,-17.9970472524098,-17.7640815898208,-17.4040360174177,-16.9385059366916,-16.39689406742,-15.809605862445,-15.2033925242086,-14.599367056702,-14.0129412377615,-13.4547041022058,-12.9315531503009,-12.4477333042599,-12.0056664358264,-11.6065666956846,-11.2508782819731,-10.9385795992779,-10.6693920983045,-10.4429233020374,-10.2587654239733,-10.1165646294637,-10.0160713762232,-9.95717906774045,-9.93995610670093,-9.96467505154439,-10.0318417441887,-10.1422268474733,-10.2969021203642,-10.4972839261453,-10.7451869117788,-11.0428915510054,-11.393230385625,-11.7996994511337,-12.2666037054623,-12.7992484970041,-13.4041933607774,-14.089589510474,-14.8656267504035,-15.7451132316322,-16.7441826722013,-17.8830039873263,-19.1859472490203,-20.6792352885551,-22.3793470303234,-24.2505330355618,-26.078401129072,-27.2685681383627,-27.1391882359058,-25.9016498559388,-24.3112222367893,-22.7985208403896,-21.4854734307448,-20.3793157078209,-19.4579919031941,-18.6962111906122,-18.0720081419057,-17.5676766378404,-17.1692508145468,-16.8657313165417,-16.6483684269981
10,-9.56840536074387,-9.52148681044152,-9.54404938697262,-9.63434609003709,-9.79153910243702,-10.01555009121,-10.3068737838737,-10.6662903035617,-11.094370749427,-11.5905968177023,-12.1517935418209,-12.7694028134986,-13.4249841249236,-14.0835803921116,-14.6862501343124,-15.1476740820009,-15.3707318085626,-15.2848660342609,-14.8866031400078,-14.2420152042135,-13.4483024605449,-12.593578874074,-11.7398783861695,-10.9244073683509,-10.166838940087,-9.47610608698243,-8.85508337675397,-8.30343975407254,-7.81927706837975,-7.40004245449125,-7.04302724443961,-6.74563667545664,-6.50553514539247,-6.32072569563345,-6.18959648075739,-6.1109526311385,-6.0840441123613,-6.1085961283133,-6.18484677941003,-6.31359628079885,-6.49627270922886,-6.73502091764897,-7.03282413186933,-7.393672348295,-7.82279902613026,-8.32701967963868,-8.91522659178504,-9.59913044654428,-10.3944077093667,-11.322546262073,-12.413962235173,-13.7135985178329,-15.2918197580773,-17.2680323882866,-19.8704302206779,-23.6286297186778,-30.3647288827687,-44.6902961254349,-28.0008240178498,-22.6749208988095,-19.4900116587533,-17.2537505579972,-15.5630912471172,-14.2325177974562,-13.1613092122651,-12.2887677889859,-11.5755932504404,-10.9949907109,-10.5279898526568,-10.160795733848,-9.88320489674516,-9.6876181240113,-9.56840536074387
15,-6.1628066022475,-6.15153619269409,-6.20287414049306,-6.31507742180635,-6.4873620333228,-6.71989902299349,-7.0138147704375,-7.37116477315806,-7.79482889941007,-8.28823313172981,-8.85471853443223,-9.49621633016649,-10.2105931566704,-10.9865659398827,-11.7946577628399,-12.5735341667639,-13.217085711865,-13.5828497709705,-13.5494210600508,-13.0989804759244,-12.3325317492939,-11.397184454219,-10.414634183872,-9.46035968270007,-8.57316969599103,-7.76963767104705,-7.05449914086338,-6.42669640415635,-5.88258993094723,-5.41759152941387,-5.0269733430403,-4.7062604033698,-4.4514183990569,-4.25894473520401,-4.12591750858365,-4.05002963581433,-4.02962147121904,-4.06371850438381,-4.1520780025777,-4.29524824174193,-4.49464555711292,-4.75265761722991,-5.07278623917877,-5.45985036086908,-5.92028092238559,-6.46255733047346,-7.09786572961031,-7.84111424153232,-8.71254426317187,-9.74038400087736,-10.965427120325,-12.4493982305028,-14.2912843217413,-16.661245574226,-19.8680670791837,-24.3230929438053,-27.3408905749408,-23.2665824352872,-19.17122586195,-16.2603691745263,-14.1030272664098,-12.4309480990894,-11.095795574491,-10.0101349133257,-9.118826926328,-8.38508685052492,-7.78322997128862,-7.29464702455751,-6.90544876240114,-6.60502871668955,-6.3851597930781,-6.23941677565014,-6.1628066022475
20,-4.40085830716466,-4.42261904329088,-4.50085686603966,-4.63272219986457,-4.8163092726398,-5.0507468379449,-5.33631393962106,-5.67456119571933,-6.06840207153759,-6.52210975007625,-7.04110261151992,-7.63130012301777,-8.29762936171001,-9.0408697204066,-9.85134627141982,-10.6972367668364,-11.5062779843846,-12.1487423317875,-12.4532981109736,-12.2929436434385,-11.686438926378,-10.7837082649732,-9.75643926699216,-8.72633966912092,-7.75954279995081,-6.88533429740302,-6.11309279159301,-5.44255049324369,-4.86917492065317,-4.38681739948287,-3.98897221911344,-3.66936163147878,-3.42220620900899,-3.24235731947919,-3.12537690870596,-3.06760361528729,-3.06622060980358,-3.11932867256744,-3.22602304633827,-3.38647239381373,-3.60200170965013,-3.87518756161973,-4.20998298334946,-4.61190052312749,-5.08829616692127,-5.64881679017007,-6.30610543002528,-7.07691370361513,-7.98387103758002,-9.05834530349061,-10.3451570077648,-11.910370440378,-13.8530974522413,-16.3127484433012,-19.3706826545156,-22.1206313344105,-21.3623315455765,-18.2241784958702,-15.3594640730336,-13.0996552681798,-11.3122053556926,-9.87263244398805,-8.69652134476731,-7.72769651412747,-6.92774464214368,-6.26944599295284,-5.73280695006333,-5.30263071498999,-4.96699724448524,-4.71629614353738,-4.5426081009363,-4.43931406114568,-4.40085830716466
25,-3.64685740446631,-3.7096186661176,-3.82278000127123,-3.98146825139663,-4.18166760582109,-4.42040738571533,-4.69602277135673,-5.00848320674496,-5.35975091265082,-5.75408644981657,-6.19816651116671,-6.7008190245533,-7.27208067200749,-7.92105721479513,-8.65156677185654,-9.45362896167881,-10.28794295157,-11.0627761615224,-11.6181703325673,-11.7649426844201,-11.4069875888464,-10.6292754544587,-9.62315261899025,-8.55968912826962,-7.54244926882093,-6.62045486228498,-5.8113824209812,-5.11746060241294,-4.53401369937475,-4.05361974025729,-3.66803272001468,-3.36904160904677,-3.1488529726799,-3.000282881997,-2.91689405884556,-2.893137453705,-2.92451511429309,-3.00775644411288,-3.14098694842886,-3.32386633066559,-3.5576812352136,-3.84539540062501,-4.1916826869988,-4.60299163544124,-5.08771060447918,-5.65652044381401,-6.32304210838811,-7.10491865623947,-8.02552385434366,-9.11655307542901,-10.4217005687045,-12.000722993764,-13.9273964794967,-16.241967752736,-18.6604355492284,-19.7521402905493,-18.2352303319183,-15.6908060870335,-13.3485886630717,-11.4073017507092,-9.81667551306628,-8.5067195847468,-7.42248292081953,-6.52411919434011,-5.78271824827363,-5.17678286920872,-4.68976873259407,-4.308440080234,-4.02178581767011,-3.82031587716765,-3.69561890958254,-3.64010196702993,-3.64685740446631
30,-3.63889597349096,-3.75672631398945,-3.91876659030082,-4.11711266374764,-4.34445005990414,-4.59428604532295,-4.86139656094826,-5.14256298732103,-5.43755949613685,-5.75017824035953,-6.08893214884128,-6.46705062006587,-6.90148970435969,-7.41076610852008,-8.01122535080324,-8.71058593220916,-9.49614931859564,-10.3139480473015,-11.0404122418285,-11.47555789926,-11.4249372918368,-10.8566334349581,-9.93390863686179,-8.87221914583814,-7.82442038545234,-6.8687438605077,-6.03585732027536,-5.33239933962848,-4.7542504812219,-4.29293512125748,-3.93846692549258,-3.68053115170524,-3.50895316383201,-3.41391664107775,-3.38615800198719,-3.41724029792604,-3.49993213841378,-3.62865723346564,-3.79993465772142,-4.01270967793979,-4.26849213453135,-4.5712744317218,-4.92727697883605,-5.34463769968634,-5.83320136836861,-6.40456800507956,-7.07253640372007,-7.85403978522568,-8.77060380065429,-9.85016678165867,-11.1283787062249,-12.6455750035133,-14.4238022764789,-16.364948764966,-17.9389409367376,-18.0432789194436,-16.4893966455461,-14.3663141219141,-12.3579882138894,-10.6259042058662,-9.16498713959656,-7.9391763473577,-6.91397102682253,-6.06181970927384,-5.36141762141681,-4.79603057924946,-4.35199798539008,-4.01760555891172,-3.7823003083886,-3.63618438246428,-3.56972783380368,-3.57364678319073,-3.63889597349096
35,-4.24894759663428,-4.44190365482875,-4.67298536980881,-4.93034687611912,-5.2021095533242,-5.47625922758768,-5.74110617357776,-5.98681859327806,-6.20813993212178,-6.407584048347,-6.59767185771907,-6.80087330583126,-7.04698960903523,-7.36886468760074,-7.79747182828373,-8.35631574473262,-9.05307458012037,-9.86387062987814,-10.7047250760758,-11.3978617634232,-11.691115876635,-11.4135693409491,-10.6412884938864,-9.61615593153961,-8.55344676325446,-7.57356346380263,-6.72633022527351,-6.0250047937689,-5.46675944384115,-5.04239630719549,-4.74040763420338,-4.54844515038874,-4.45371855729887,-4.44306616633906,-4.50309055255263,-4.62058408915833,-4.78334483509955,-4.98133244700016,-5.20793273363368,-5.46095678784629,-5.74300106109769,-6.0609876409989,-6.42501090069221,-6.84687285606695,-7.33877425476124,-7.91254486536445,-8.57962536105603,-9.35180695012458,-10.2424414933326,-11.2672310415105,-12.4421585807125,-13.7717830411745,-15.2095821570386,-16.5545774863134,-17.3159987942256,-16.952806591558,-15.587641329407,-13.8286726498814,-12.0905689421508,-10.523761804351,-9.15925297545642,-7.99017721160777,-7.00104012538954,-6.17643534255669,-5.50293869762725,-4.96891715605059,-4.56382478376671,-4.27750156335687,-4.09963771877087,-4.01944863310782,-4.0255644866382,-4.10611391868797,-4.24894759663428
40,-5.40602645586923,-5.69958026013529,-6.02555673846718,-6.36845709552945,-6.71186219355107,-7.03632552054824,-7.31828381866909,-7.53260608717831,-7.66041865590712,-7.69991660068317,-7.67350560245062,-7.62557843821285,-7.61225383370477,-7.6897361688335,-7.90636512244744,-8.29851174336625,-8.8868808439053,-9.66755562228698,-10.5895529207683,-11.5122623891922,-12.1702400274096,-12.264054353653,-11.7212700711724,-10.7728265866977,-9.70959293653733,-8.71243248995174,-7.85867806448686,-7.17077965618417,-6.64805329787536,-6.28129533453654,-6.0583782489512,-5.96582924386338,-5.98875994741299,-6.11026336244598,-6.31093809478717,-6.56910935931247,-6.8622865172861,-7.17012544555205,-7.4784413790468,-7.7828578130748,-8.09026062803831,-8.41703543504521,-8.78467649702831,-9.21447045278714,-9.72287307268118,-10.3184337886501,-11.0005491570501,-11.7602084167226,-12.582738246108,-13.4514488826458,-14.3484127092257,-15.245080151806,-16.0742498528704,-16.6866786861772,-16.8454550542592,-16.3617070654459,-15.2917468303408,-13.8927668979251,-12.4119146297739,-10.9945291645443,-9.70612798927721,-8.57080935042926,-7.5947464681068,-6.77705729640082,-6.1140501444387,-5.60051648340754,-5.22985201608562,-4.99379865012721,-4.88215151045333,-4.88259961398694,-4.98081518671878,-5.16087666089391,-5.40602645586923
45,-7.05438702667359,-7.47165616379929,-7.91385062598814,-8.36717132115345,-8.81833538249586,-9.24469519840139,-9.60321526015878,-9.82918358647947,-9.85833630582903,-9.66955251026074,-9.31274305760158,-8.89085654534216,-8.51624046885074,-8.28036702926317,-8.24687362199075,-8.45645497928505,-8.93228211150041,-9.67918430491301,-10.6694055708867,-11.8027437948362,-12.8379133710126,-13.3854352471624,-13.1724426624085,-12.3535738515695,-11.3056474605822,-10.2971406070504,-9.44468952806052,-8.78284240967245,-8.31407244544478,-8.03073393207851,-7.92259552664515,-7.97823550621531,-8.18380335168589,-8.52047004874263,-8.96126034895332,-9.46841794552261,-9.99380980754498,-10.4860419982761,-10.9058670378645,-11.2438932439343,-11.527936315829,-11.8131117771607,-12.1617650467592,-12.6248553939653,-13.2288490535932,-13.9648399888466,-14.7771872668889,-15.5593234652011,-16.180440918894,-16.55617849122,-16.7083048570428,-16.7356472598327,-16.7256428136933,-16.6900225205574,-16.5510736888494,-16.1789703220871,-15.4791249954547,-14.4695996959232,-13.2650620380469,-11.998517640171,-10.7702623853068,-9.64194608435788,-8.64832893774524,-7.80839991810911,-7.13188948676598,-6.62236447570875,-6.27849136373533,-6.09442421091025,-6.05979302386751,-6.15959351723124,-6.37432493664333,-6.68084587538122,-7.05438702667359
