-50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
-90,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837,-10.9818885141837
-89,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209,-10.5557825828209
-88,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585,-10.134437611585
-87,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609,-9.71785360047609
-86,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415,-9.30603054949415
-85,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916,-8.89896845863916
-84,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113,-8.49666732791113
-83,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006,-8.09912715731006
-82,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594,-7.70634794683594
-81,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879,-7.31832969648879
-80,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686,-6.9350724062686
-79,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536,-6.55657607617536
-78,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909,-6.18284070620909
-77,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977,-5.81386629636977
-76,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741,-5.44965284665741
-75,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201,-5.09020035707201
