link_id,epoch_index,t_tdb,t_utc,gnss_const_id,gnss_const,prn,frequency_id,frequency,rx_x_ecef_m,rx_y_ecef_m,rx_z_ecef_m,tx_x_ecef_m,tx_y_ecef_m,tx_z_ecef_m,tangent_radius_earth_center_m,tangent_altitude_m,tx_boresight_angle_deg,cn0_dbhz,ionosphere_plasma_delay_m,tecu,tec_delay_m,second_delay_m,third_delay_m,dist_bend_m,tec_delay_bend_m,max_sep_line_m,final_pos_err_m
0,0,7.889616691839e+08,7.889616000000e+08,0,GPS,2,0,L1,-3.310447687442e+08,-9.236366968537e+07,-1.641626091078e+08,1.721598890297e+07,3.566016871995e+06,2.045584028812e+07,1.029299490177e+07,3.921994901771e+06,2.243296289466e+01,1.661526539424e+01,0,0,0,0,0,0,0,0,0
1,0,7.889616691839e+08,7.889616000000e+08,0,GPS,4,0,L1,-3.310447687442e+08,-9.236366968537e+07,-1.641626091078e+08,2.530866785798e+07,-2.776258187447e+05,-8.192489235043e+06,1.830818242168e+07,1.193718242168e+07,4.348766936906e+01,1.213175435346e+01,0,0,0,0,0,0,0,0,0
2,0,7.889616691839e+08,7.889616000000e+08,0,GPS,21,0,L1,-3.310447687442e+08,-9.236366968537e+07,-1.641626091078e+08,1.822249588581e+07,1.102017716155e+07,1.686669087742e+07,8.020895186796e+06,1.649895186796e+06,1.717285577861e+01,2.278648113183e+01,0,0,0,0,0,0,0,0,0
3,0,7.889616691839e+08,7.889616000000e+08,0,GPS,27,0,L1,-3.310447687442e+08,-9.236366968537e+07,-1.641626091078e+08,1.946286716974e+07,1.284728571365e+07,-1.335987923507e+07,2.191406394186e+07,1.554306394186e+07,5.462334357549e+01,1.415939066860e+01,0,0,0,0,0,0,0,0,0
4,1,7.889616701839e+08,7.889616010000e+08,0,GPS,2,0,L1,-3.310524401599e+08,-9.233944778929e+07,-1.641631163489e+08,1.721695830818e+07,3.568283588772e+06,2.045460128280e+07,1.029094188059e+07,3.919941880590e+06,2.242826343987e+01,1.662660301232e+01,0,0,0,0,0,0,0,0,0
5,1,7.889616701839e+08,7.889616010000e+08,0,GPS,4,0,L1,-3.310524401599e+08,-9.233944778929e+07,-1.641631163489e+08,2.530959909814e+07,-2.771837347670e+05,-8.189535575307e+06,1.830560724558e+07,1.193460724558e+07,4.348008275290e+01,1.214554541133e+01,0,0,0,0,0,0,0,0,0
6,1,7.889616701839e+08,7.889616010000e+08,0,GPS,21,0,L1,-3.310524401599e+08,-9.233944778929e+07,-1.641631163489e+08,1.822325683467e+07,1.102203272137e+07,1.686466908681e+07,8.021317735348e+06,1.650317735348e+06,1.717378333059e+01,2.278448381151e+01,0,0,0,0,0,0,0,0,0
7,1,7.889616701839e+08,7.889616010000e+08,0,GPS,27,0,L1,-3.310524401599e+08,-9.233944778929e+07,-1.641631163489e+08,1.946120287866e+07,1.284720557630e+07,-1.336233921069e+07,2.191601656688e+07,1.554501656688e+07,5.463059590704e+01,1.415961906134e+01,0,0,0,0,0,0,0,0,0
8,2,7.889616711839e+08,7.889616020000e+08,0,GPS,2,0,L1,-3.310601096680e+08,-9.231522555488e+07,-1.641636242297e+08,1.721792813551e+07,3.570550183113e+06,2.045336227748e+07,1.028888960662e+07,3.917889606623e+06,2.242356538451e+01,1.663793801105e+01,0,0,0,0,0,0,0,0,0
9,2,7.889616711839e+08,7.889616020000e+08,0,GPS,4,0,L1,-3.310601096680e+08,-9.231522555488e+07,-1.641636242297e+08,2.531053053734e+07,-2.767417880920e+05,-8.186581915571e+06,1.830303219244e+07,1.193203219244e+07,4.347249629746e+01,1.215934013415e+01,0,0,0,0,0,0,0,0,0
10,2,7.889616711839e+08,7.889616020000e+08,0,GPS,21,0,L1,-3.310601096680e+08,-9.231522555488e+07,-1.641636242297e+08,1.822401815101e+07,1.102388822931e+07,1.686264729592e+07,8.021741791237e+06,1.650741791237e+06,1.717471387272e+01,2.278248003588e+01,0,0,0,0,0,0,0,0,0
11,2,7.889616711839e+08,7.889616020000e+08,0,GPS,27,0,L1,-3.310601096680e+08,-9.231522555488e+07,-1.641636242297e+08,1.945953867940e+07,1.284712574999e+07,-1.336479918631e+07,2.191796932980e+07,1.554696932980e+07,5.463784841807e+01,1.415984708278e+01,0,0,0,0,0,0,0,0,0
12,3,7.889616721839e+08,7.889616030000e+08,0,GPS,2,0,L1,-3.310677772683e+08,-9.229100298258e+07,-1.641641327502e+08,1.721889838495e+07,3.572816654968e+06,2.045212327216e+07,1.028683808031e+07,3.915838080311e+06,2.241886872970e+01,1.664927038636e+01,0,0,0,0,0,0,0,0,0
13,3,7.889616721839e+08,7.889616030000e+08,0,GPS,4,0,L1,-3.310677772683e+08,-9.229100298258e+07,-1.641641327502e+08,2.531146217558e+07,-2.762999787462e+05,-8.183628255835e+06,1.830045726230e+07,1.192945726230e+07,4.346491000310e+01,1.217313852331e+01,0,0,0,0,0,0,0,0,0
14,3,7.889616721839e+08,7.889616030000e+08,0,GPS,21,0,L1,-3.310677772683e+08,-9.229100298258e+07,-1.641641327502e+08,1.822477983490e+07,1.102574368430e+07,1.686062550531e+07,8.022167354010e+06,1.651167354010e+06,1.717564740400e+01,2.278046980687e+01,0,0,0,0,0,0,0,0,0
15,3,7.889616721839e+08,7.889616030000e+08,0,GPS,27,0,L1,-3.310677772683e+08,-9.229100298258e+07,-1.641641327502e+08,1.945787457199e+07,1.284704623469e+07,-1.336725916193e+07,2.191992223056e+07,1.554892223056e+07,5.464510110820e+01,1.416007473305e+01,0,0,0,0,0,0,0,0,0
16,4,7.889616731839e+08,7.889616040000e+08,0,GPS,2,0,L1,-3.310754429598e+08,-9.226678007526e+07,-1.641646419101e+08,1.721986905647e+07,3.575083004412e+06,2.045088426684e+07,1.028478730209e+07,3.913787302095e+06,2.241417347654e+01,1.666060013421e+01,0,0,0,0,0,0,0,0,0
17,4,7.889616731839e+08,7.889616040000e+08,0,GPS,4,0,L1,-3.310754429598e+08,-9.226678007526e+07,-1.641646419101e+08,2.531239401284e+07,-2.758583065723e+05,-8.180674596100e+06,1.829788245518e+07,1.192688245518e+07,4.345732387023e+01,1.218694058023e+01,0,0,0,0,0,0,0,0,0
18,4,7.889616731839e+08,7.889616040000e+08,0,GPS,21,0,L1,-3.310754429598e+08,-9.226678007526e+07,-1.641646419101e+08,1.822554188622e+07,1.102759908694e+07,1.685860371469e+07,8.022594423536e+06,1.651594423536e+06,1.717658392411e+01,2.277845312574e+01,0,0,0,0,0,0,0,0,0
19,4,7.889616731839e+08,7.889616040000e+08,0,GPS,27,0,L1,-3.310754429598e+08,-9.226678007526e+07,-1.641646419101e+08,1.945621055672e+07,1.284696703026e+07,-1.336971913723e+07,2.192187526885e+07,1.555087526885e+07,5.465235397609e+01,1.416030201227e+01,0,0,0,0,0,0,0,0,0
20,5,7.889616741839e+08,7.889616050000e+08,0,GPS,2,0,L1,-3.310831067436e+08,-9.224255682855e+07,-1.641651517092e+08,1.722084015010e+07,3.577349231146e+06,2.044964526152e+07,1.028273727241e+07,3.911737272413e+06,2.240947962617e+01,1.667192725053e+01,0,0,0,0,0,0,0,0,0
21,5,7.889616741839e+08,7.889616050000e+08,0,GPS,4,0,L1,-3.310831067436e+08,-9.224255682855e+07,-1.641651517092e+08,2.531332604910e+07,-2.754167719650e+05,-8.177720936365e+06,1.829530777114e+07,1.192430777114e+07,4.344973789921e+01,1.220074630630e+01,0,0,0,0,0,0,0,0,0
