mc,t,receiver_clock_s,pos_error_m,vel_error_mps,x_error_m,y_error_m,z_error_m,vx_error_mps,vy_error_mps,vz_error_mps,clock_bias_error_m,clock_drift_error_mps,x_3sigma_m,y_3sigma_m,z_3sigma_m,vx_3sigma_mps,vy_3sigma_mps,vz_3sigma_mps,r_error_m,t_error_m,n_error_m,rdot_error_mps,tdot_error_mps,ndot_error_mps,r_3sigma_m,t_3sigma_m,n_3sigma_m,rdot_3sigma_mps,tdot_3sigma_mps,ndot_3sigma_mps,clock_bias_3sigma_m,clock_drift_3sigma_mps,srp_coeff_est_m2_kg,srp_coeff_error_m2_kg,srp_coeff_3sigma_m2_kg,num_channels,num_tracked_satellites,num_measurements
0,0,2e-06,23.4545,0.0410096,11.0603,-9.63389,18.3022,0.0402193,-0.00785159,-0.00159664,30.8167,0.00159435,59.9704,59.9071,59.9348,0.06,0.06,0.06,14.8752,-5.58495,17.2525,-0.0139639,-0.0128582,0.0363519,59.9499,59.9457,59.9166,0.06,0.06,0.06,65.6434,0,nan,nan,nan,4,4,4
0,1,1,22.7235,0.074075,10.8451,-9.4729,17.5786,0.0573321,-0.0425434,-0.0197537,37.5728,0.00159273,59.9626,59.8992,59.8956,0.0599691,0.0598736,0.0599663,14.2596,-5.31254,16.876,-0.0275306,0.0130513,0.0675192,59.9152,59.9396,59.9027,0.0599813,0.0599303,0.0598975,62.8173,0,nan,nan,nan,4,4,8
0,2,2,22.6251,0.0710567,10.7479,-9.5455,17.4717,0.0559521,-0.0397969,-0.0182928,38.0032,0.00159788,59.9548,59.8914,59.8566,0.0599386,0.0597485,0.0599331,14.2142,-5.17444,16.8248,-0.0264199,0.0110208,0.0650353,59.8805,59.9334,59.8889,0.0599629,0.0598613,0.0597961,61.846,0,nan,nan,nan,4,4,8
0,3,3,21.0588,0.0481583,10.0597,-9.14914,16.0801,0.0446557,-0.0169344,-0.00619017,38.0065,0.00160182,59.947,59.8837,59.8178,0.0599084,0.0596245,0.0599003,13.1119,-4.57293,15.8316,-0.0173707,-0.0060903,0.0445016,59.846,59.9273,59.8751,0.0599449,0.0597928,0.0596956,61.3544,0,nan,nan,nan,4,4,8
0,4,4,21.1523,0.0343128,9.50221,-9.48267,16.3465,0.0331458,0.00644795,0.00609503,40.7442,0.00160167,59.9393,59.876,59.779,0.0598786,0.0595016,0.0598678,13.6359,-4.1664,15.6245,-0.00823758,-0.0235852,0.0235212,59.8116,59.9212,59.8614,0.0599272,0.059725,0.0595961,61.0576,0,nan,nan,nan,4,4,8
0,5,5,20.4383,0.0401664,9.46737,-9.03922,15.6966,0.0223081,0.0283747,0.0176228,40.8951,0.00160511,59.9316,59.8683,59.7404,0.059849,0.0593798,0.0598357,12.9493,-4.22677,15.2372,0.000326966,-0.0399837,0.00381281,59.7774,59.9152,59.8478,0.0599098,0.0596576,0.0594974,60.8588,0,nan,nan,nan,4,4,8
0,6,6,20.4087,0.0589776,8.90401,-9.19389,15.8967,0.0115543,0.0500115,0.0290466,37.3983,0.00160712,59.9239,59.8607,59.7019,0.0598197,0.0592589,0.0598039,13.3705,-3.92742,14.9104,0.00882147,-0.0561679,-0.0156748,59.7432,59.9091,59.8342,0.0598927,0.0595908,0.0593996,60.7165,0,nan,nan,nan,4,4,8
0,7,7,18.9774,0.08326,8.18195,-8.69487,14.7512,0.000400885,0.072609,0.0407431,35.3658,0.00162182,59.9163,59.8531,59.6636,0.0597907,0.059139,0.0597724,12.4763,-3.48819,13.8678,0.0174343,-0.0730216,-0.0360018,59.7092,59.9031,59.8207,0.059876,0.0595245,0.0593026,60.6095,0,nan,nan,nan,4,4,8
0,8,8,17.0986,0.109058,7.78408,-7.73038,13.1154,-0.0106637,0.0950185,0.0524545,32.8375,0.00161496,59.9087,59.8456,59.6253,0.0597619,0.05902,0.0597413,10.9051,-3.35567,12.7351,0.0260548,-0.0897917,-0.0561455,59.6753,59.8971,59.8072,0.0598595,0.0594585,0.0592063,60.5262,0,nan,nan,nan,4,4,8
0,9,9,17.7946,0.136071,7.47194,-7.95766,14.0533,-0.0219556,0.117816,0.0644419,29.2965,0.00160904,59.9011,59.8381,59.5872,0.0597333,0.0589018,0.0597104,11.9143,-3.43249,12.7638,0.0348815,-0.106877,-0.076655,59.6416,59.8912,59.7938,0.0598432,0.059393,0.0591107,60.4595,0,nan,nan,nan,4,4,8
